s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836466215979843584,133401571.20918322,182187086.64008924,164870395.96015334,172620463.04166678,125151074.45350613,91649839.23280802,97599185.39242628
10836466250339581952,241148792.9690916,293243096.5991813,286432593.9717684,331361138.60374147,250720551.9266099,188799394.13317567,226489159.95070893
10836466284699320320,420773530.00942194,536782560.6989941,465402466.52856356,530823693.8160784,402951487.4277843,345186618.3649883,295608134.44269705
10836466319059058688,386940755.0481057,430150759.8185713,400853291.8898097,455031657.4587518,325533169.4101021,322008790.25625896,240086042.74209628
10836466353418797056,116338301.8125011,115699326.54578143,106691301.06273557,157628066.71418104,123909453.09317334,82447281.60916674,86428252.95289023
10836466387778535424,155633654.00840127,169655551.31010288,161328503.75370306,178888273.6901238,131084938.88395512,146931012.02206564,87225450.37667066
10836466422138273792,471083597.23382145,550187052.9769922,518243951.0478907,535513492.8164215,450222811.1265151,445342658.764873,296015293.401918
10836466456498012160,484229962.59145355,573051269.7151985,495866286.3939267,559222720.3189878,486008610.3820702,422067296.60598415,326093791.2965465
10836466490857750528,522647665.8534574,690003410.2084072,536994195.7902219,544936479.6597792,660802150.8618271,494934774.3874311,288905308.3395371
10836466525217488896,305764774.24627876,556025836.7292854,492726257.3454692,330795481.43056595,245444130.38988927,110606496.69961515,46500466.56365979
10836466559577227264,33103691.717348628,66630014.22262256,63122685.50974976,48109317.084504984,31180856.39322768,12106479.527370233,3342029.2742324574
10836466593936965632,261716596.06569904,494521904.3551942,440199226.0057849,290132550.34631425,183782916.82202172,73194262.56043,27601259.199707873
10836466628296704000,354360343.14586246,711461564.2268469,646608900.3657205,391367344.28400964,202368639.29494143,81841775.3003309,28929444.285937212
10836466662656442368,708920314.8953284,993497438.1287515,913981065.186323,767500627.9618082,634970739.6361573,247602454.62922084,97413772.76438776
10836466697016180736,612060778.5882496,1156004254.8547688,1210520551.018269,700604797.9234576,449728358.6858003,186950779.23384544,73609637.43306313
10836466731375919104,883691446.4239181,825074194.9323518,575506254.9316658,1060012554.6880016,691529157.8159282,230212759.6272309,134498818.9974136
10836466765735657472,658899084.0781665,872962943.9937526,586559036.0703263,693656306.0948131,799656715.4096284,261398519.53877765,138138394.56489998
10836466800095395840,675642655.663097,968552044.9822224,711870765.417089,691094182.9316599,872329985.1411983,593422337.267409,282181686.8983663
10836466834455134208,468958028.9996451,546268328.7077527,543144515.2437733,515366985.5514579,480323123.0929402,528571723.5248054,263790450.47165266
10836466868814872576,806909118.190021,905579703.5996803,614942473.9340355,815422584.8759825,831853894.9441178,325609168.7510887,129869028.43593945
